date, balance_flow [cfs]
57330780,1.02084703992e+39,
57330840,1.02084703992e+39,
57330900,1.02084703992e+39,
57330960,1.02084703992e+39,
57331020,1.02084703992e+39,
57331080,1.02084703992e+39,
57331140,1.02084703992e+39,
57331200,1.02084703992e+39,
57331260,1.02084703992e+39,
57331320,1.02084703992e+39,
57331380,1.02084703992e+39,
57331440,1.02084703992e+39,
57331500,1.02084703992e+39,
57331560,1.02084703992e+39,
57331620,1.02084703992e+39,
57331680,1.02084703992e+39,
57331740,1.02084703992e+39,
57331800,1.02084703992e+39,
57331860,1.02084703992e+39,
57331920,1.02084703992e+39,
57331980,1.02084703992e+39,
57332040,1.02084703992e+39,
57332100,-220.318668577,
57332160,-1148.00915825,
57332220,-594.202875807,
57332280,-1148.313594,
57332340,-594.111619739,
57332400,-1147.22790219,
57332460,-1694.6099048,
57332520,-29.9213678183,
57332580,-1139.00425052,
57332640,-590.89903433,
57332700,-43.9746217605,
57332760,-598.057008133,
57332820,-1012.73862957,
57332880,-1096.61923572,
57332940,-1095.02637688,
57333000,-597.448330867,
57333060,-1719.07600114,
57333120,-503.635559078,
57333180,-1794.99504025,
57333240,-570.203708396,
57333300,-1119.69528919,
57333360,-1121.3436207,
57333420,-725.864768909,
57333480,-1473.1299048,
57333540,-602.614729682,
57333600,-320.981272808,
57333660,-870.921284321,
57333720,-322.0815475,
57333780,-871.426357889,
57333840,-320.001567065,
57333900,-863.881303887,
57333960,-307.961331505,
57334020,-311.461032728,
57334080,232.519820688,
57334140,-320.029789708,
57334200,232.167216727,
57334260,-319.967838001,
57334320,232.681943113,
57334380,-318.777995367,
57334440,234.399973275,
57334500,-165.026065888,
57334560,581.663876939,
57334620,940.913819766,
57334680,864.516620573,
57334740,95.0776118822,
57334800,1314.40510816,
57334860,-205.951827455,
57334920,479.702823502,
57334980,-316.967362622,
57335040,726.34774351,
57335100,171.283700777,
57335160,726.714888963,
57335220,726.4537343,
57335280,726.642710194,
57335340,1286.7625107,
57335400,1288.55456499,
57335460,1844.11707743,
57335520,867.489453354,
57335580,825.662571863,
57335640,684.629206529,
57335700,765.609206529,
57335760,208.195841194,
57335820,211.439152615,
57335880,221.092459197,
57335940,280.175760949,
57336000,347.859057863,
57336060,1054.23920653,
