date, balance_flow [cfs]
57330720,-106.916471727,
57330780,193.828708915,
57330840,-62.2091615812,
57330900,62.9167718324,
57330960,72.6084142286,
57331020,75.3607257974,
57331080,78.2409871154,
57331140,20.2108411554,
57331200,86.6350389254,
57331260,29.4302902347,
57331320,79.7539587299,
57331380,34.2425512443,
57331440,-78.0916820931,
57331500,-670.929075424,
57331560,-67.4042818587,
57331620,-171.901217483,
57331680,-183.945582275,
57331740,-172.662870794,
57331800,-167.623083039,
57331860,-220.167655989,
57331920,-209.991551847,
57331980,-126.689224419,
57332040,683.457004364,
57332100,-95.3577799453,
57332160,-57.8763984519,
57332220,236.041620469,
57332280,-52.8705323824,
57332340,78.8987351826,
57332400,81.925649551,
57332460,-25.8038148468,
57332520,143.315134345,
57332580,21.4405720045,
57332640,40.8693272156,
57332700,108.413595603,
57332760,51.5723161504,
57332820,-13.609038671,
57332880,-462.879434004,
57332940,-10.617797181,
57333000,-110.575896689,
57333060,-59.4537452092,
57333120,-281.819057411,
57333180,-956.405976154,
57333240,-347.471437759,
57333300,-377.050208612,
57333360,-404.366078361,
57333420,-229.348698297,
57333480,1163.14640873,
57333540,-6.59510315898,
57333600,-71.5633316517,
57333660,163.912610538,
57333720,-70.615585097,
57333780,53.9052521814,
57333840,112.829091968,
57333900,47.4965425163,
57333960,60.7607094425,
57334020,74.1206888211,
57334080,75.9464528623,
57334140,75.5849956246,
57334200,14.5086716275,
57334260,75.4316472972,
57334320,76.5151738672,
57334380,87.0728432757,
57334440,39.4606186834,
57334500,-114.026605085,
57334560,-702.423675645,
57334620,-714.827027734,
57334680,-208.46380266,
57334740,-468.992187331,
57334800,-388.563522671,
57334860,-61.0015645895,
57334920,884.240415151,
57334980,115.987972095,
57335040,-136.968982777,
57335100,162.470237175,
57335160,-14.0241667951,
57335220,69.4880078064,
57335280,83.4397818483,
57335340,-3.13256529342,
57335400,61.4744121371,
57335460,71.1121632429,
57335520,-57.595942813,
57335580,-369.699741462,
57335640,-130.621504465,
57335700,-145.203903637,
57335760,-93.411133651,
57335820,-153.483447846,
57335880,-147.236513457,
57335940,-133.850444212,
57336000,-212.870647772,
57336060,-183.133953579,
57336120,-197.113750739,
57336180,-109.142480294,
57336240,-66.4107705646,
57336300,-42.3095310452,
57336360,377.075973045,
57336420,-3.74008561019,
57336480,-54.5699920192,
57336540,129.244024163,
57336600,-56.0815669331,
57336660,138.356902261,
57336720,82.2783197564,
57336780,-32.2505323824,
57336840,128.935720729,
57336900,130.403921339,
57336960,-221.215650564,
57337020,-439.77921106,
57337080,-117.65039571,
57337140,-167.481505104,
57337200,-168.740360645,
57337260,-153.084963324,
57337320,-197.681204629,
57337380,-147.473146583,
57337440,-199.225760507,
57337500,-135.359284269,
57337560,-181.255069362,
57337620,-211.123869843,
57337680,-121.296699351,
57337740,-71.7121966267,
57337800,289.8852339,
57337860,-65.2363379217,
57337920,-12.1219987884,
57337980,114.821528002,
57338040,-11.3198377678,
57338100,55.8338052903,
57338160,-8.52333913004,
57338220,1.32350155596,
57338280,77.4106548869,
57338340,17.8496640377,
57338400,-99.0290937261,
57338460,-562.199934839,
57338520,227.488828305,
57338580,-50.45,
57338640,-357.088123881,
57338700,93.945695474,
57338760,-38.0650589273,
57338820,-271.541519456,
57338880,-309.00921106,
57338940,-220.884057187,
57339000,-180.93891492,
57339060,-39.6372901356,
57339120,-346.538514121,
57339180,8.88080147544,
57339240,483.746398893,
57339300,-50.9528549968,
57339360,-53.8180844313,
57339420,124.070614609,
57339480,-63.9274984496,
57339540,8.84357923668,
57339600,79.3266280987,
57339660,16.1209575252,
57339720,23.4423099764,
57339780,27.9417730586,
57339840,-172.27038946,
57339900,-601.933234119,
57339960,-106.835946009,
57340020,-118.655188268,
57340080,-155.154655522,
57340140,-73.2928432757,
57340200,-93.378556999,
57340260,-133.368723931,
57340320,-218.126311048,
57340380,-267.107150008,
57340440,-219.725408791,
57340500,-244.414303678,
57340560,-240.767175645,
57340620,-80.6754319563,
57340680,532.150802099,
57340740,59.8819792491,
57340800,-53.5721309618,
57340860,67.2863042687,
57340920,1.68702267168,
57340980,17.1022635653,
57341040,134.99901863,
57341100,879.91,
57341160,892.16,
57341220,897.9,
57341280,764.9,
57341340,-4310.6795104,
57341400,-184.590028019,
57341460,16.5132165116,
57341520,59.3015532148,
57341580,-424.630096963,
57341640,-42.8427683939,
57341700,-204.061384581,
57341760,-130.201185519,
57341820,-188.623110566,
57341880,-397.615416393,
57341940,-194.535388919,
57342000,-326.070765637,
57342060,226.971193076,
57342120,437.135016188,
57342180,-67.4891615812,
57342240,-1.20670958546,
57342300,64.3715333404,
57342360,-54.7253340161,
57342420,71.9767096548,
57342480,15.4127225214,
57342540,-34.9367794072,
57342600,30.981956476,
57342660,18.6921524976,
57342720,26.5503652747,
57342780,-46.5416538077,
57342840,-419.661140411,
57342900,-78.6476293676,
57342960,-58.1522181831,
57343020,-270.334326042,
57343080,-396.60054647,
57343140,-183.555558144,
57343200,-267.630221927,
57343260,-1059.62533105,
57343320,-519.544010087,
57343380,-767.513841548,
57343440,-331.603062895,
57343500,789.399120579,
57343560,735.08,
57343620,-124.2855817,
57343680,-55.7493030436,
57343740,78.0276230484,
57343800,-53.781147805,
57343860,20.1884093445,
57343920,21.5839424711,
57343980,36.8752880501,
57344040,40.1324460817,
57344100,41.4654165657,
57344160,-6.92293253636,
57344220,64.1954074446,
57344280,-8.5895659291,
57344340,16.0127225214,
57344400,32.1678069189,
57344460,-95.2702592834,
57344520,-620.955096628,
57344580,-106.810113324,
57344640,-356.180456987,
57344700,-1072.32353452,
57344760,-446.964689635,
57344820,-430.059751976,
57344880,-557.917365603,
57344940,1561.89826744,
57345000,33.6568873832,
57345060,-139.318839782,
57345120,156.837323311,
57345180,-66.7099952242,
57345240,-16.5911860769,
57345300,40.2124404754,
57345360,-13.7241667951,
57345420,61.3580078064,
57345480,48.0097818483,
57345540,5.34743470658,
57345600,-78.2955878629,
57345660,-674.436751677,
57345720,-31.6599695578,
57345780,-242.843302853,
57345840,-131.740444212,
57345900,-196.999747587,
57345960,-257.59774854,
57346020,-277.954509639,
57346080,-78.4462224343,
57346140,-294.51244369,
57346200,-140.511833793,
57346260,-177.031078204,
57346320,-163.54925784,
57346380,-142.785118745,
57346440,525.981448623,
57346500,-87.5128591702,
57346560,-24.723623711,
57346620,100.405227508,
57346680,-81.1115403244,
57346740,56.7244004062,
57346800,48.3360450958,
57346860,-13.7486239133,
57346920,52.6054165657,
57346980,-6.52293253636,
57347040,-136.150868139,
57347100,-665.89970266,
57347160,-100.796558233,
57347220,-214.519510891,
57347280,-194.653717955,
57347340,-203.404572233,
57347400,-207.492073726,
57347460,-155.283463171,
57347520,-268.160786864,
57347580,-278.7801683,
57347640,-189.783225609,
57347700,-174.797067915,
57347760,-393.954757552,
57347820,-24.6978816089,
57347880,590.622883546,
57347940,-91.8883245345,
57348000,-31.0399463314,
57348060,40.7635366473,
57348120,-30.955053118,
57348180,46.6286886705,
57348240,-13.9378970311,
57348300,43.6534631709,
57348360,-6.96955006494,
57348420,56.1002696741,
57348480,-128.000454524,
57348540,-619.270346951,
57348600,-66.9408756241,
57348660,-179.336378775,
57348720,-180.026856195,
57348780,-175.67580754,
57348840,-184.093232811,
57348900,-178.839132008,
57348960,-209.033505131,
57349020,-237.07635218,
57349080,-192.264055089,
57349140,-253.516114718,
57349200,-222.873562769,
57349260,-87.442393565,
57349320,537.578878861,
57349380,-34.755242448,
57349440,-96.3229320847,
57349500,62.1142985065,
57349560,-56.4420006635,
57349620,-0.977018718907,
57349680,6.63399070359,
57349740,9.37164734104,
57349800,4.17600862958,
57349860,49.4014377544,
57349920,-14.8507832359,
57349980,-95.3418434839,
57350040,-630.603829385,
57350100,-129.62960713,
57350160,-175.042398196,
57350220,-143.500184453,
57350280,-212.385069362,
57350340,-161.180237175,
57350400,-229.071510911,
57350460,-176.546610914,
57350520,-235.382610538,
57350580,-165.303678769,
57350640,-257.890249217,
57350700,-112.049006561,
57350760,571.967898026,
57350820,-45.1618342663,
57350880,-47.3874449724,
57350940,21.9851257523,
57351000,-34.1210948528,
57351060,29.0907868636,
57351120,38.9702488467,
57351180,-22.2647119499,
57351240,51.0945722328,
