date,temp,depth
2024-01-04 12:29:00,9.64,198.89
2024-01-04 12:29:00,9.64,198.89
2024-01-04 12:29:00,9.64,198.88
2024-01-04 12:29:00,9.63,195.66
2024-01-04 12:29:00,9.62,189.01
2024-01-04 12:29:00,9.62,185.49
2024-01-04 12:29:00,9.61,180.27
2024-01-04 12:29:00,9.65,174.24
2024-01-04 12:29:00,9.66,170.17
2024-01-04 12:29:00,9.72,165.22
2024-01-04 12:29:00,9.74,160.4
2024-01-04 12:29:00,9.76,155.6
2024-01-04 12:29:00,9.83,149.12
2024-01-04 12:29:00,9.86,145.15
2024-01-04 12:29:00,9.89,140.9
2024-01-04 12:29:00,9.95,134.52
2024-01-04 12:29:00,9.99,130.89
2024-01-04 12:29:00,10.11,125.34
2024-01-04 12:29:00,10.28,120.95
2024-01-04 12:29:00,10.33,117.22
2024-01-04 12:29:00,10.49,110.19
2024-01-04 12:29:00,10.55,105.59
2024-01-04 12:29:00,10.65,100.3
2024-01-04 12:29:00,10.73,95.78
2024-01-04 12:29:00,10.9,89.22
2024-01-04 12:29:00,10.91,85.32
2024-01-04 12:29:00,11,80.65
2024-01-04 12:29:00,11.17,75.17
2024-01-04 12:29:00,11.92,70.32
2024-01-04 12:29:00,11.99,65.86
2024-01-04 12:29:00,12.03,59.42
2024-01-04 12:29:00,12.03,54.71
2024-01-04 12:29:00,12.03,50.69
2024-01-04 12:29:00,12.03,45.37
2024-01-04 12:29:00,12.03,39.75
2024-01-04 12:29:00,12.03,35.35
2024-01-04 12:29:00,12.04,30.51
2024-01-04 12:29:00,12.04,25.37
2024-01-04 12:29:00,12.05,20.52
2024-01-04 12:29:00,12.05,15.25
2024-01-04 12:29:00,12.06,10.69
2024-01-04 12:29:00,12.13,5.06
2024-01-04 12:29:00,12.28,1.28
2024-02-06 12:22:00,9.37,175.36
2024-02-06 12:22:00,9.38,175.03
2024-02-06 12:22:00,9.47,170.1
2024-02-06 12:22:00,9.49,165.04
2024-02-06 12:22:00,9.53,160.04
2024-02-06 12:22:00,9.58,154.88
2024-02-06 12:22:00,9.6,150.36
2024-02-06 12:22:00,9.61,144.97
2024-02-06 12:22:00,9.65,140
2024-02-06 12:22:00,9.68,134.99
2024-02-06 12:22:00,9.72,130.19
2024-02-06 12:22:00,9.73,125.04
2024-02-06 12:22:00,9.74,119.74
2024-02-06 12:22:00,9.77,115.03
2024-02-06 12:22:00,9.81,110.39
